JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2459475.3125,9.6,,,Vis.,JLZ,B,9.8,9.6,5646lb,,,,Z,,,,Rs oph,MCSE,STD,,,,
2459475.383,9.727,,,TG,PYG,,96,,AAVSO X26796PE,Y  SLOOH,0,,Z,9.60,,,RS OPH,BAA-VSS,STD,,,,
2459475.39236,9.6,,,Vis.,GKI,B,9.6,9.8,X23198BLY,,,,Z,,,,RS Oph,,STD,,,,
2459475.5250,9.9,,,Vis.,MOW,,98,105,X23039XD,,,,Z,,,,RS OPH,AAVSO,STD,,,,
2459475.53889,9.5,,,Vis.,SLH,,91,96,x23048iv,,,,Z,,,,rs oph,AAVSO,STD,,,,
2459475.56528,9.7,,,Vis.,CKB,,96,98,X26797EJ,,,,Z,,,,RS OPH,AAVSO,STD,,,,
2459475.65760,7.945,0.013,,I,RBCA,,121,115,X27021B,,0,1.761,Z,-6.578,-6.910,,RS OPH,AAVSO,STD,,,,
2459475.66645,10.338,0.008,,B,RBCA,,000-BBZ-346,000-BBZ-382,X27010U,|VMAGINS=-9.044|VERR=0.008|CREFMAG=9.761|CREFERR=0.058|KREFMAG=11.175|KREFERR=0.043|VX=2.0788|CX=2.1052|KX=2.0968|TB_BV=0.0120|TB_BVERR=0.0250|TAVER=2.51,1,1.860,Z,-9.621,-8.202,,RS OPH,AAVSO,STD,101,,,
2459475.66759,9.712,0.008,,V,RBCA,,000-BBZ-346,000-BBZ-382,X27010U,|VMAGINS=-9.775|VERR=0.008|CREFMAG=9.116|CREFERR=0.036|KREFMAG=10.498|KREFERR=0.026|VX=2.0994|CX=2.1265|KX=2.1179|TV_BV=-0.0330|TV_BVERR=0.0180|TAVER=2.51,1,1.873,Z,-10.370,-8.890,,RS OPH,AAVSO,STD,101,,,
2459476.29861,9.484,0.025,,V,KMWA,,ENSEMBLE,000-BBZ-502,X26815RW,ERROR VS 6 COMP STARS,1,2.069,Z,,8.392,,RS OPH,BAV,STD,,,,
2459476.34028,8.9,,,Vis.,MED,LD,9.6,,B,,,,Z,,,,Rs oph,AAVSO,STD,,,,
2459476.345791,9.697,,,V,FPAA,K,Ensemble,,UCAC4 ApassV,Astroart8/14stars o-c=0.01,0,1.832,Z,,,,RS Oph,,STD,,,,
2459476.348,9.756,,,TG,PYG,,96,,AAVSO X26796PE,Y  SLOOH,0,,Z,9.60,,,RS OPH,BAA-VSS,STD,,,,
2459476.35343,10.322,0.018,,B,BDG,,ENSEMBLE,129,AAVSO  X20036D,MEAN OF 11 OBS,1,2.461,Z,,13.776,,RS OPH,BAA-VSS,STD,1,,,
2459476.35368,9.734,0.029,,V,BDG,,ENSEMBLE,129,AAVSO  X20036D,MEAN OF 11 OBS,1,2.464,Z,,12.973,,RS OPH,BAA-VSS,STD,1,,,
2459476.425880,9.846,,,V,CCT,,,,X26895HS,,0,,Z,12.1,,,RS OPH,REA,STD,,,,
2459476.51389,8.7,,,Vis.,TTEC,,8.0,9.4,X26828FA  ,,,,Z,,,,RS Oph,AAVSO,STD,,,,
2459476.5250,10.0,,,Vis.,MOW,,98,105,X23039XD,,,,Z,,,,RS OPH,AAVSO,STD,,,,
2459476.56264,9.5,,,Vis.,ZUD,W,96,91,X26817PA,,,,Z,,,,RS Oph,AAVSO,STD,,,,
2459476.633426,10.3603,0.0072,,B,WGR,,115,110,X26803MT,,0,1.473,Z,16.2024,14.5105,,RS OPH,AAVSO,STD,,,,
2459476.633623,10.3855,0.0073,,B,WGR,,115,110,X26803MT,,0,1.473,Z,16.1705,14.4938,,RS OPH,AAVSO,STD,,,,
2459476.633819,10.3800,0.0073,,B,WGR,,115,110,X26803MT,,0,1.474,Z,16.1627,14.4846,,RS OPH,AAVSO,STD,,,,
2459476.634016,10.3535,0.0075,,B,WGR,,115,110,X26803MT,,0,1.475,Z,16.1711,14.4754,,RS OPH,AAVSO,STD,,,,
2459476.634213,10.3675,0.0075,,B,WGR,,115,110,X26803MT,,0,1.475,Z,16.1595,14.4961,,RS OPH,AAVSO,STD,,,,
2459476.63441,10.3687,0.0073,,B,WGR,,115,110,X26803MT,,0,1.476,Z,16.1596,14.4689,,RS OPH,AAVSO,STD,,,,
2459476.634595,10.3630,0.0072,,B,WGR,,115,110,X26803MT,,0,1.477,Z,16.1557,14.4687,,RS OPH,AAVSO,STD,,,,
2459476.634803,10.3622,0.0073,,B,WGR,,115,110,X26803MT,,0,1.478,Z,16.1488,14.4714,,RS OPH,AAVSO,STD,,,,
2459476.635012,10.3556,0.0071,,B,WGR,,115,110,X26803MT,,0,1.478,Z,16.1379,14.4616,,RS OPH,AAVSO,STD,,,,
2459476.635197,10.3261,0.0073,,B,WGR,,115,110,X26803MT,,0,1.479,Z,16.1594,14.4513,,RS OPH,AAVSO,STD,,,,
2459476.635394,10.3763,0.0072,,B,WGR,,115,110,X26803MT,,0,1.480,Z,16.1316,14.4586,,RS OPH,AAVSO,STD,,,,
2459476.637697,9.6871,0.0042,,V,WGR,,115,110,X26803MT,,0,1.488,Z,15.0385,12.8561,,RS OPH,AAVSO,STD,,,,
2459476.637847,9.6992,0.0040,,V,WGR,,115,110,X26803MT,,0,1.489,Z,15.0196,12.8486,,RS OPH,AAVSO,STD,,,,
2459476.637998,9.6802,0.0042,,V,WGR,,115,110,X26803MT,,0,1.490,Z,15.0221,12.8515,,RS OPH,AAVSO,STD,,,,
2459476.63816,9.6886,0.0041,,V,WGR,,115,110,X26803MT,,0,1.490,Z,15.0119,12.8329,,RS OPH,AAVSO,STD,,,,
2459476.638322,9.6821,0.0041,,V,WGR,,115,110,X26803MT,,0,1.491,Z,15.0047,12.8443,,RS OPH,AAVSO,STD,,,,
2459476.638461,9.6787,0.0041,,V,WGR,,115,110,X26803MT,,0,1.491,Z,15.0217,12.8440,,RS OPH,AAVSO,STD,,,,
2459476.638611,9.6929,0.0040,,V,WGR,,115,110,X26803MT,,0,1.492,Z,14.9948,12.8333,,RS OPH,AAVSO,STD,,,,
2459476.638773,9.6971,0.0039,,V,WGR,,115,110,X26803MT,,0,1.493,Z,14.9934,12.8385,,RS OPH,AAVSO,STD,,,,
2459476.638935,9.7083,0.0039,,V,WGR,,115,110,X26803MT,,0,1.493,Z,14.9831,12.8291,,RS OPH,AAVSO,STD,,,,
2459476.66787,10.353,0.003,,B,RBCA,,000-BBZ-346,000-BBZ-382,X27010U,|VMAGINS=-9.118|VERR=0.003|CREFMAG=9.761|CREFERR=0.058|KREFMAG=11.175|KREFERR=0.043|VX=2.1564|CX=2.1855|KX=2.1762|TB_BV=0.0120|TB_BVERR=0.0250|TAVER=2.51,1,1.921,Z,-9.710,-8.278,,RS OPH,AAVSO,STD,101,,,
2459476.67064,9.748,0.002,,V,RBCA,,000-BBZ-346,000-BBZ-382,X27010U,|VMAGINS=-9.828|VERR=0.002|CREFMAG=9.116|CREFERR=0.036|KREFMAG=10.498|KREFERR=0.026|VX=2.2124|CX=2.2436|KX=2.2335|TV_BV=-0.0330|TV_BVERR=0.0180|TAVER=2.51,1,1.957,Z,-10.459,-8.970,,RS OPH,AAVSO,STD,101,,,
2459476.67264,7.994,0.013,,I,RBCA,,121,115,X27021B,,0,1.987,Z,-6.607,-6.939,,RS OPH,AAVSO,STD,,,,
2459477.24097,9.7,,,Vis.,JLZ,B,9.8,9.6,5646lb,,,,Z,,,,rs oph,MCSE,STD,,,,
2459477.26389,9.7,,,Vis.,AJV,,96,98,x26797qf,,,,Z,,,,rs oph,AASABADELL,STD,,,,
2459477.27431,9.7,,,Vis.,CSZ,,96,98,X22686BO,8L,,,Z,,,,RS Oph,MCSE,STD,,,,
2459477.28,9.6,,,Vis.,BFO,,000,,999999,,,,Z,,,,RS OPH,AAVSO,STD,,,,
2459477.3056,9.7,,,Vis.,LCR,,"""91,94""",98,X26796AZ,,,,Z,,,,RS Oph,AASABADELL,STD,,,,
2459477.33728,9.744,0.025,,V,SJOK,,,,AAVSO X26797Y,achromat 80mm f/5,,,Z,,,,RS OPH,AAVSO,STD,,,,BAAVSS
2459477.33763,9.717,0.013,,V,SJOK,,,,AAVSO X26797Y,achromat 80mm f/5,,,Z,,,,RS OPH,AAVSO,STD,,,,BAAVSS
2459477.33798,9.717,0.008,,V,SJOK,,,,AAVSO X26797Y,achromat 80mm f/5,,,Z,,,,RS OPH,AAVSO,STD,,,,BAAVSS
2459477.33833,9.711,0.007,,V,SJOK,,,,AAVSO X26797Y,achromat 80mm f/5,,,Z,,,,RS OPH,AAVSO,STD,,,,BAAVSS
